name	score	category	group_label	label
mashr_Adipose_Visceral_Omentum|predixcan_mashr_eqtl_eqtl	0.332543768399354	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Liver|predixcan_mashr_eqtl_eqtl	0.150819222067275	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Pancreas|predixcan_mashr_eqtl_eqtl	0.425770143652045	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Artery_Aorta|predixcan_mashr_eqtl_eqtl	0.312387567066302	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Artery_Coronary|predixcan_mashr_eqtl_eqtl	0.380614381987054	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Artery_Tibial|predixcan_mashr_eqtl_eqtl	0.475781512379191	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Heart_Atrial_Appendage|predixcan_mashr_eqtl_eqtl	0.984666053786148	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Heart_Left_Ventricle|predixcan_mashr_eqtl_eqtl	4164797.24864739	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Kidney_Cortex|predixcan_mashr_eqtl_eqtl	243.72321989342	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Muscle_Skeletal|predixcan_mashr_eqtl_eqtl	0.324263552297336	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Nerve_Tibial|predixcan_mashr_eqtl_eqtl	0.350862832476486	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Pituitary|predixcan_mashr_eqtl_eqtl	0.49058111626676	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Brain_Amygdala|predixcan_mashr_eqtl_eqtl	1	enrichment_pval	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Brain_Anterior_cingulate_cortex_BA24|predixcan_mashr_eqtl_eqtl	0.00667853222698908	enrichment_pval	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Brain_Caudate_basal_ganglia|predixcan_mashr_eqtl_eqtl	2.33408821202014e-07	enrichment_pval	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Colon_Sigmoid|predixcan_mashr_eqtl_eqtl	0.00857587392447098	enrichment_pval	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Colon_Transverse|predixcan_mashr_eqtl_eqtl	5.1862655246052e-14	enrichment_pval	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Small_Intestine_Terminal_Ileum|predixcan_mashr_eqtl_eqtl	1	enrichment_pval	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Whole_Blood|predixcan_mashr_eqtl_eqtl	2.85312676377385e-24	enrichment_pval	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Spleen|predixcan_mashr_eqtl_eqtl	3.00521429866526e-17	enrichment_pval	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Cells_EBV-transformed_lymphocytes|predixcan_mashr_eqtl_eqtl	0.0465834643162159	enrichment_pval	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Cells_Cultured_fibroblasts|predixcan_mashr_eqtl_eqtl	1	enrichment_pval	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Adipose_Subcutaneous|predixcan_mashr_eqtl_eqtl	0.350702262315438	enrichment_pval	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Adipose_Visceral_Omentum|predixcan_mashr_eqtl_eqtl	9.38079671305725e-10	enrichment_pval	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Liver|predixcan_mashr_eqtl_eqtl	2.8710438848578e-90	enrichment_pval	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Pancreas|predixcan_mashr_eqtl_eqtl	3.66892806838308e-06	enrichment_pval	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Artery_Aorta|predixcan_mashr_eqtl_eqtl	1.57428089816256e-12	enrichment_pval	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Artery_Coronary|predixcan_mashr_eqtl_eqtl	2.02896516255207e-07	enrichment_pval	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
